Algorithm,ProofType,TotalCoinsMined,TotalCoinSupply,PC 1,PC 2,PC 3,CoinName,Class
Scrypt,PoW/PoS,41.99995383,42,-0.3353690874623543,0.9229768562494948,-0.5453096299137742,42 Coin,1
Scrypt,PoW/PoS,1055184902.04,532000000,-0.3186939770059991,0.9230121555069913,-0.5457076888470483,404Coin,1
X13,PoW/PoS,29279424622.5027,314159265359,2.3039189803477447,1.6138326315472848,-0.6541389600310346,EliteCoin,1
SHA-256,PoW,17927175.0,21000000,-0.14464070190440942,-1.2401333911557193,0.2107867533617272,Bitcoin,0
Ethash,PoW,107684222.6865,0,-0.14295040895876923,-1.9850997888038813,0.3563632366359287,Ethereum,0
Scrypt,PoW,63039243.3000049,84000000,-0.16688637559600547,-1.1450850865610391,0.023011608896325364,Litecoin,0
X11,PoW/PoS,9031294.37563393,22000000,-0.4103162095778952,1.2328680187434609,-0.541355550545065,Dash,1
CryptoNight-V7,PoW,17201143.1449131,0,-0.16917298186148866,-2.071635103738593,0.38028385514287183,Monero,0
Ethash,PoW,113359703.0,210000000,-0.14139223021753353,-1.9852002805221567,0.3563530759473562,Ethereum Classic,0
Equihash,PoW,7383056.25,21000000,-0.11340440010927197,-2.0197971271877293,0.39569083547395756,ZCash,0
SHA-512,PoS,2741570000.0,3600570502,-0.25569477885680614,1.0662775627472927,0.041819715562945094,Bitshares,1
Multiple,PoW,11406219141.0,21000000000,0.15650123625350046,-1.7424488446552717,0.3559126977850638,DigiByte,0
SHA-256,PoW/PoS,1288862.0,22000000,-0.31195339176979014,0.8279001599006769,-0.35755437491580605,BitcoinDark,1
SHA-256,PoS,11995334.8847328,12500000,-0.2600570980819263,0.6071925356503479,-0.058412780324182866,PayCoin,1
Scrypt,PoW,5768310.0,21000000,-0.16803335760160026,-1.1450704155355962,0.023034535047483304,ProsperCoin,0
X15,PoW/PoS,25542535.5881841,350000000,-0.23841868772561292,1.8155080494775555,-0.6371864925758212,KoboCoin,1
X11,PoW,11149733.9976203,20000000,-0.24318816840889634,-0.8351690902270825,0.026990810512703363,Spreadcoin,0
Scrypt,PoW,12205795.4449549,64000000,-0.16764979107732864,-1.1450895231540716,0.023030567417251898,Argentum,0
Scrypt,PoW/PoS,18135099.992959,16768584,-0.33502844015597416,0.9229737565959869,-0.5453167664230939,Aurora Coin,1
Scrypt,PoW/PoS,635423900.0,0,-0.32759867493909084,0.923153830064626,-0.5455369343770058,BlueCoin,1
Multiple,PoW,1688254250.0,2000000000,-0.09703560475707265,-1.7359203009530935,0.3601246301539605,MyriadCoin,0
Scrypt,PoW,88.0,384000000000,2.5540785635482655,-1.3317085132882456,0.00817030292150793,MoonCoin,0
SHA-256,PoW,170204389.754849,169795588,-0.14172367619438594,-1.2401633034254198,0.21072651976878,ZetaCoin,0
Scrypt,PoW,128940951.183046,250000000,-0.1649036417023555,-1.1451474178920933,0.022981607543604864,SexCoin,0
Scrypt,PoW,7357794.7925,100000000,-0.1674538572989306,-1.145108371513181,0.023030907857516644,Quatloo,0
Scrypt,PoW/PoS,123062801.128773,0,-0.3338641892120358,0.9230111308461483,-0.545353652046737,EnergyCoin,1
Quark,PoW,259557164.91477,247000000,-0.22927393317157505,-0.43699939919024333,0.028046863653181858,QuarkCoin,0
Groestl,PoW,49548585.1412917,84000000,-0.19586997001659745,-1.183226805050244,0.14643815246411077,Riecoin,0
Scrypt,PoW,33442988.3440364,48166000,-0.16750234127765373,-1.1450759120601506,0.023023583463068393,Digitalcoin ,0
Scrypt,PoW/PoS,42579.476901,500000,-0.33536502287948067,0.9229766250875814,-0.5453096644868933,BitBar,1
Scrypt,PoW,7219956.64626131,21000000 ,-0.16801560583863184,-1.1450700112331575,0.023034015762977474,Catcoin,0
Scrypt,PoW/PoS,1039116.65144562,1000000,-0.3353492918150928,0.9229766596065684,-0.545310040327393,CryptoBullion,1
Scrypt,PoW,4703879.51824446,13140000,-0.16810209693070183,-1.1450668915686966,0.023035220127760322,CannaCoin,0
X11,PoW,4996986.20575291,18000000,-0.2432775873741368,-0.835169831729008,0.026993088912720776,CryptCoin,0
Scrypt,PoC,39999997299.8568,40000000000,0.690330652658275,-0.41756052386004033,-0.2141932040878309,CasinoCoin,0
Groestl,PoW/PoS,3304487.74735637,4380000,-0.3641162481672734,0.8848376864962925,-0.42188926388384684,Diamond,1
Multiple,PoW,15929530669.1206,16555000000,0.18030308906035197,-1.7390285109178898,0.35446670873746094,Verge,0
SHA-256,PoW,18773857500.0,21000000000,0.23344871093786262,-1.245106655116415,0.20326513104849636,DevCoin,0
Scrypt,PoW,12539015186.822,13500000000,0.08079014240743013,-1.148131334301795,0.01802927056279966,EarthCoin,0
Scrypt,PoW,20910478.8062499,21000000 ,-0.16784818844065508,-1.1450661982449795,0.023029118375549756,E-Gulden,0
Scrypt,PoW,218871896.499999,299792458,-0.16345090355423797,-1.1451465730340185,0.022947509568783313,Einsteinium,0
Scrypt,PoW,19496786.31025,32000000,-0.16778749262365744,-1.1450719386269113,0.023029198202343913,Emerald,0
PoS,PoS,5679705.0,0,-0.325184370585083,1.48286208787969,-0.11688413433385572,Exclusive Coin,1
Scrypt,PoS/PoW/PoT,461829905.32893,0,-0.28864717015215763,0.17251502550186215,-0.21463977393536152,FlutterCoin,1
Scrypt,PoW,1142732.14912776,11235813,-0.1681591447139825,-1.145066957847037,0.023036567748317378,Franko,0
